committee name,Name,Status,Type,FPPCID,PENID,MailingLine1,MailingLine2,MailingCity,MailingState,MailingZip,DisclosureLine1,DisclosureLine2,DisclosureCity,DisclosureState,DisclosurePostalCode,TreasurerFirst,TreasurerLast,TreasurerPrefix,Asst Treasurer First,Asst Treasurer Last,Asst Treasurer Prefix,Cont Cand First,Cont Cand Last,Cont Cand Prefix
"Committee for a Safer San Francisco; Supporting Sharmin Bock, Opposing George Gascon for District Attorney 2011","Committee for a Safer San Francisco; Supporting Sharmin Bock, Opposing George Gascon for District Attorney 2011",TERMINATED,Primarily Formed Candidate,1340803,,455 Capitol Mall Ste. 600,,Sacramento,CA,95814,455 Capitol Mall Ste. 600,,Sacramento,CA,95814,Charles,Bell,,Audrey,Martin,,,,
Committee for Better Wages,,,,,,,,,,,,,,,,,,,,,,,,
Committee for Effective City Management--A Committee in Support of Ed Lee for Mayor 2011,Committee for Effective City Management--A Committee in Support of Ed Lee for Mayor 2011,TERMINATED,Primarily Formed Candidate,1341523,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
"Committee for Parental Choice and Religious Freedom, sponsored by the Jewish Community Relations Council","Committee for Parental Choice and Religious Freedom, sponsored by the Jewish Community Relations Council",TERMINATED,Primarily Formed Measure,1338674,,PO Box 52,,San Francisco,CA,94104,"2261 Market Street, #319",,San Francisco,CA,94114,Natalie,Berg,,Nancy,Warren,,,,
"Committee for Quality Teachers and Education, Yes on Proposition A","Committee for Quality Teachers and Education, Yes on Proposition A",TERMINATED,Primarily Formed Measure,1305506,,"101 Montgomery Street, Suite 1900",,San Francisco,CA,94104,"101 Montgomery Street, Suite 1900",,San Francisco,CA,94104,Lawrence,Kane,,Raquel,Hernandez,,,,
Committee for Real Solutions for Housing -- A Committee Opposed to Proposition F,,,,,,,,,,,,,,,,,,,,,,,,
"Committee for Reliable Transportation & Better, Safer Streets",,,,,,,,,,,,,,,,,,,,,,,,
Committee on JOBS Candidate Advocacy Fund,,,,,,,,,,,,,,,,,,,,,,,,
Committee on Jobs Candidate Advocacy Fund,Committee on Jobs Candidate Advocacy Fund,ACTIVE,General Purpose,990831,,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,Christopher,Wright,,Kate,Cutting,,,,
Committee on JOBS Government Reform Fund,,,,,,,,,,,,,,,,,,,,,,,,
Committee on Jobs Government Reform Fund,Committee on Jobs Government Reform Fund,ACTIVE,General Purpose,982683,,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,Christopher,Wright,,Kate,Cutting,,,,
"Committee On Pharmaceutical Equality - COPE/SF, Major Funding by the AIDS Healthcare Foundation",,,,,,,,,,,,,,,,,,,,,,,,
Committee Opposing Forced Male Circumcision,Committee Opposing Forced Male Circumcision,TERMINATED,Primarily Formed Measure,1336649,,154 Delmar Street,,San Francisco,CA,94117,154 Delmar Street,,San Francisco,CA,94117,Frank,McGinness,,Lloyd,Schofield,,,,
Committee to Keep MUNI Accountable - No on P,Committee to Keep MUNI Accountable - No on P,TERMINATED,Primarily Formed Measure,1309995,,"584 Castro Street, # 414",,San Francisco,CA,94114,2069A Mission Street,,San Francisco,CA,94110,Steven,Mele,,,,,,,
Committee to Pass Laura's Law 2014,Committee to Pass Laura's Law 2014,TERMINATED,Primarily Formed Measure,1366967,,"5940 College Ave., Suite F",,San Francisco,CA,94618,"150 Post Street, Suite 405",,San Francisco,CA,94108,Stacy,Owens,,Hank,Levy,,,,
"COMMITTEE TO PRESERVE RENTAL HOUSING, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",,,,,,,,,,,,,,,,,,,,,,,,
"COMMITTEE TO PRESERVE RENTAL HOUSING, NO ON F, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",,,,,,,,,,,,,,,,,,,,,,,,
COMMITTEE TO REBUILD GENERAL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,
"COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION","COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION",TERMINATED,Primarily Formed Measure,1306196,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,James,Sutton,,Kevin,Heneghan,,,,
"COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 ISSUES PAC AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION",,,,,,,,,,,,,,,,,,,,,,,,
"Committee to Restore Our Waterfront, Yes on D","Committee to Restore Our Waterfront, Yes on D",TERMINATED,Primarily Formed Measure,1311013,,"660 Mission Street, 2nd Floor",,San Francisco,CA,94105,"660 Mission Street, 2nd Floor",,San Francisco,CA,94105,Steven,Mele,,,,,,,
"Committee to Save Our City College,Yes on A, supported by thousands of San Franciscans who support education (see attachment sheet for full committee name)",,,,,,,,,,,,,,,,,,,,,,,,
"Committee To Stop Mass Demolition of Housing, A Committee to Support Proposition","Committee To Stop Mass Demolition of Housing, A Committee to Support Proposition",TERMINATED,Primarily Formed Measure,1339557,,558 Capp Street,,San Francisco,CA,94110,558 Capp Street,,San Francisco,CA,94110,Ted,Gullicksen,,Rebecca,Reiner,,,,
"COMMITTEE TO STOP THE BLANK CHECK, NO ON H, A COALITION OF CONCERNED CONSUMERS, SMALL BUSINESSES, LABOR, COMMUNITY ORGANIZATIONS AND PACIFIC GAS AND ELECTRIC COMPANY","COMMITTEE TO STOP THE BLANK CHECK, NO ON H, A COALITION OF CONCERNED CONSUMERS, SMALL BUSINESSES, LABOR, COMMUNITY ORGANIZATIONS AND PACIFIC GAS AND ELECTRIC COMPANY",TERMINATED,Primarily Formed Measure,1308261,,"2350 Kerner Boulevard, Suite 250",,San Rafael,CA,94901,"2350 Kerner Boulevard, Suite 250",,San Rafael,CA,94901,,,,Jennifer,Lee,,,,
COMMITTEE TO SUPPORT OUR CITY COLLEGE--YES ON A,COMMITTEE TO SUPPORT OUR CITY COLLEGE--YES ON A,TERMINATED,Primarily Formed Measure,1276564,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Tim,Wolfred,,James,Sutton,,,,
"Common Sense Voters, SF 2010; Vote for Mark Farrell for District 2 Supervisor","Common Sense Voters, SF 2010; Vote for Mark Farrell for District 2 Supervisor",TERMINATED,Primarily Formed Candidate,1332919,,41 Corto Lane,,Redwood City,CA,94062,41 Corto Lane,,Redwood City,CA,94062,Stacy,Owens,,Henry,Levy,,,,
