committee name,Name,Status,Type,FPPCID,PENID,MailingLine1,MailingLine2,MailingCity,MailingState,MailingZip,DisclosureLine1,DisclosureLine2,DisclosureCity,DisclosureState,DisclosurePostalCode,TreasurerFirst,TreasurerLast,TreasurerPrefix,Asst Treasurer First,Asst Treasurer Last,Asst Treasurer Prefix,Cont Cand First,Cont Cand Last,Cont Cand Prefix
"REAL SOLUTIONS FOR HOUSING, NO ON PROP. F, A COALITION OF LABOR AND BUSINESS, INCLUDING THE NORTHERN CALIFORNIA CARPENTERS UNION AND LENNAR HOMES OF CALIFORNIA","REAL SOLUTIONS FOR HOUSING, NO ON PROP. F, A COALITION OF LABOR AND BUSINESS, INCLUDING THE NORTHERN CALIFORNIA CARPENTERS UNION AND LENNAR HOMES OF CALIFORNIA",TERMINATED,Primarily Formed Measure,1305925,,"150 Post Street, Suite 405",,San Francisco,CA,94108,239 9th Street,,San Francisco,CA,94103,Bill,Wong,,James,Sutton,,,,
"Rebuilding San Francisco Schools, Yes on Proposition A","Rebuilding San Francisco Schools, Yes on Proposition A",TERMINATED,Primarily Formed Measure,1340175,,"20 Galli Drive, Suite A",,Novato,CA,94949,"660 Mission Street, Suite 200",,San Francisco,CA,94105,David,Sosa,,Nancy,Warren,,,,
Recology,Recology,ANNUAL,Major Donor,Pending,,"50 California Street, 24th Floor",,San Francisco,CA,94111,"50 California Street, 24th Floor",,San Francisco,CA,94111,,,,,,,,,
Reelect Supervisor David Chiu 2012,,,,,,,,,,,,,,,,,,,,,,,,
Republicans United for San Francisco,Republicans United for San Francisco,TERMINATED,General Purpose,1260579,,83 Stanyan Street,,San Francisco,CA,94118,83 Stanyan Street,,San Francisco,CA,94118,Howard,Epstein,,,,,,,
Residential Builders Assn. of S.F. Independent Expenditure Fund,,,,,,,,,,,,,,,,,,,,,,,,
Residential Builders Association of San Francisco Independent Expenditure Fund,Residential Builders Association of San Francisco Independent Expenditure Fund,NONSF,General Purpose,992298,,345 Vermont St - #C,,San Francisco,CA,94103,345 Vermont St - #C,,San Francisco,CA,94103,David,Slosberg,,,,,,,
Residential Builders Association of San Francisco PAC,Residential Builders Association of San Francisco PAC,NONSF,General Purpose,861576,,345 Vermont St - #C,,San Francisco,CA,94103,345 Vermont St - #C,,San Francisco,CA,94103,Richard,Hart,,,,,,,
"Restore Transportation Balance, A Committee in Support of Proposition ____",,,,,,,,,,,,,,,,,,,,,,,,
Retired Firemen and Widows Association of the San Francisco Fire Department Political Action Committee,Retired Firemen and Widows Association of the San Francisco Fire Department Political Action Committee,ACTIVE,General Purpose,990203,,295 Moscow Street,,San Francisco,CA,94112,295 Moscow Street,,San Francisco,CA,94112,Timothy,O'Brien,,,,,,,
Reza J. Mehran,Reza J. Mehran,ANNUAL,Major Donor,Pending,,2331 Bellefontaine Street,,Houston,TX,77030,2331 Bellefontaine Street,,Houston,TX,77030,Charles,Bell,,,,,,,
Richard Beleson,Richard Beleson,ANNUAL,Major Donor,Pending,,849 Union Street,,San Francisco,CA,94133,849 Union Street,,San Francisco,CA,94133,,,,,,,,,
Richmond District Democratic Club,Richmond District Democratic Club,ACTIVE,General Purpose,882390,,"163 - 7th Avenue, #6",,San Francisco,CA,94118,"163 - 7th Avenue, #6",,San Francisco,CA,94118,Sarah,Lauterborn,,Shirley,Hansen,,,,
"RIVERBED TECHNOLOGY, INC.",,,,,,,,,,,,,,,,,,,,,,,,
"Riverbed Technology, Inc.","Riverbed Technology, Inc.",ANNUAL,Major Donor,Pending,,199 Fremont St.,,San Francisco,CA,94105,199 Fremont St.,,San Francisco,CA,94105,,,,,,,,,
ROBERT LESKO,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Santos,Rodrigo Santos,ANNUAL,Major Donor,Pending,,2451 Harrison Street,,San Francisco,CA,94110,2451 Harrison Street,,San Francisco,CA,94110,,,,,,,,,
RONALD CONWAY,,,,,,,,,,,,,,,,,,,,,,,,
S. Osborn Erickson,S. Osborn Erickson,ANNUAL,Major Donor,Pending,,"532 Folsom Street, #400",,San Francisco,CA,94105,"532 Folsom Street, #400",,San Francisco,CA,94105,,,,,,,,,
SAMUEL RAWLINGS WALTON,,,,,,,,,,,,,,,,,,,,,,,,
"San Franciscans Against Commercialization - No on C, No on D, Yes on E","San Franciscans Against Commercialization - No on C, No on D, Yes on E",TERMINATED,Primarily Formed Measure,1321564,,"100 Bush Street, Suite 1580",,San Francisco,CA,94104,"100 Bush Street, Suite 1580",,San Francisco,CA,94104,Mary,Prem,,,,,,,
San Franciscans Against Recall Abuse,San Franciscans Against Recall Abuse,TERMINATED,Primarily Formed Measure,1304456,,"584 Castro Street, #414",,San Francisco,CA,94114,"584 Castro Street, #414",,San Francisco,CA,94114,Steven,Mele,,,,,,,
"SAN FRANCISCANS FOR A BETTER MUNI, A COALITION OF MUNI RIDERS, CONCERNED CITIZENS, AND SUPERVISOR SEAN R. ELSBERND",,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCANS FOR A BETTER MUNI, A COALITION OF MUNI RIDERS, PLAN C SAN FRANCISCO, SAN FRANCISCO COALITION FOR RESPONSIBLE GROWTH, SF FORWARD SPONSORED BY SAN FRANCISCO CHAMBER OF COMMERCE, AND SPUR",,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCANS FOR A BETTER MUNI, YES ON G, A COALITION OF MUNI RIDERS, PLAN C SAN FRANCISCO, SAN FRANCISCO COALITION FOR RESPONSIBLE GROWTH, SF FORWARD SPONSORED BY SF CHAMBER OF COMMERCE, AND SPUR",,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCANS FOR A BETTER MUNI, YES ON G, WITH SUPPORT FROM SF FORWARD, PLAN C SAN FRANCISCO, SFAR, COMMITTEE ON JOBS GOVERNMENT REFORM FUND COMMITTEE, SF COALITION FOR RESPONSIBLE GROWTH AND SPUR",,,,,,,,,,,,,,,,,,,,,,,,
"San Franciscans for a Safe and Affordable City, with major funding by San Francisco Police Officers Association PAC and San Francisco Fire Fighters PAC",,,,,,,,,,,,,,,,,,,,,,,,
San Franciscans for Budget Reform: Yes on A,,,,,,,,,,,,,,,,,,,,,,,,
San Franciscans for Budget Reform:Yes on A,San Franciscans for Budget Reform:Yes on A,TERMINATED,Primarily Formed Measure,1321920,,"c/o ML Associates 1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,2069A Mission Street,,San Francisco,CA,94110,David,Mitchell,,Andy,Lim,,,,
"SAN FRANCISCANS FOR CLEAN AND SAFE NEIGHBORHOOD PARKS, WITH MAJOR SUPPORT FROM SAN FRANCISCO PARKS ALLIANCE AND THE TRUST FOR PUBLIC LAND",,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCANS FOR COMPETITIVE BIDDING supported by: San Francisco Bay Railroad, Quentin Kopp, Tony Kelly, environmentalists, small businesses and San Francisco ratepayers","SAN FRANCISCANS FOR COMPETITIVE BIDDING supported by: San Francisco Bay Railroad, Quentin Kopp, Tony Kelly, environmentalists, small businesses and San Francisco ratepayers",TERMINATED,Primarily Formed Measure,1339394,,"c/o Tony Kelly - 250 Connecticut Street, #6",,San Francisco,CA,94107,"c/o Tony Kelly - 250 Connecticut Street, #6",,San Francisco,CA,94107,Tony,Kelly,,Nancy,Warren,,,,
"SAN FRANCISCANS FOR FAIR TAXES AND BETTER CITY SERVICES, YES ON E, A BROAD COALITION OF SMALL BUSINESSES, LABOR UNIONS, AND TECHNOLOGY COMPANIES","SAN FRANCISCANS FOR FAIR TAXES AND BETTER CITY SERVICES, YES ON E, A BROAD COALITION OF SMALL BUSINESSES, LABOR UNIONS, AND TECHNOLOGY COMPANIES",TERMINATED,Primarily Formed Measure,1349080,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,"425 Market Street, 26th Floor",,San Francisco,CA,94105,Kevin,Heneghan,,,,,,,
"San Franciscans for Fire, Earthquake and Disaster Preparedness, Yes on A","San Franciscans for Fire, Earthquake and Disaster Preparedness, Yes on A",TERMINATED,Primarily Formed Measure,1365442,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,"425 Market Street, 26th Floor",,San Francisco,CA,94105,Kevin,Heneghan,,,,,,,
San Franciscans for Free Wireless Internet Access: Yes on Prop J,San Franciscans for Free Wireless Internet Access: Yes on Prop J,TERMINATED,Primarily Formed Measure,1300936,,"268 Bush Street, #3739",,San Francisco,CA,94104,"268 Bush Street, #3739",,San Francisco,CA,94104,Stacy,Owens,,,,,,,
"SAN FRANCISCANS FOR JOBS AND GOOD GOVERNMENT, SUPPORTING ED LEE FOR MAYOR 2011",,,,,,,,,,,,,,,,,,,,,,,,
"San Franciscans for Laguna Honda, Yes on D","San Franciscans for Laguna Honda, Yes on D",TERMINATED,Primarily Formed Measure,1275391,,"1939 Hayes Street, #8",,San Francisco,CA,94117,"1939 Hayes Street, #8",,San Francisco,CA,94117,Doug,Comstock,,,,,,,
"San Franciscans for Neighborhoods, Affordable Housing & Jobs","San Franciscans for Neighborhoods, Affordable Housing & Jobs",ACTIVE,Primarily Formed Measure,1367243,,8 Seventh Avenue,,San Francisco,CA,94118,8 Seventh Avenue,,San Francisco,CA,94118,Dale,Carlson,,,,,,,
San Franciscans for New Priorities and Dennis Herrera for Mayor 2011,San Franciscans for New Priorities and Dennis Herrera for Mayor 2011,TERMINATED,Primarily Formed Candidate,1342147,,"400 Capitol Mall, Suite 1545",,Sacramento,CA,95814,"400 Capitol Mall, Suite 1545",,Sacramento,CA,95814,Rebecca,Olson,,,,,,,
"SAN FRANCISCANS FOR PARKS, JOBS AND HOUSING, WITH MAJOR SUPPORT FROM PACIFIC WATERFRONT PARTNERS, LLC",,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCANS FOR PARKS, JOBS AND HOUSING, WITH MAJOR SUPPORT FROM PACIFIC WATERFRONT PARTNERS, LLC, CAHILL CONTRACTORS, INC., BUILDING AND LABOR",,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCANS FOR PARKS, JOBS AND HOUSING, YES ON B & C, WITH MAJOR SUPPORT FROM PACIFIC WATERFRONT PARTNERS, LLC, CAHILL CONTRACTORS, INC., BUILDING AND LABOR","SAN FRANCISCANS FOR PARKS, JOBS AND HOUSING, YES ON B & C, WITH MAJOR SUPPORT FROM PACIFIC WATERFRONT PARTNERS, LLC, CAHILL CONTRACTORS, INC., BUILDING AND LABOR",TERMINATED,Primarily Formed Measure,1356686,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,"425 Market Street, 26th Floor",,San Francisco,CA,94105,Kevin,Heneghan,,,,,,,
"SAN FRANCISCANS FOR PENSION REFORM Supported by Public Defender Jeff Adachi, George Hume & Michael Moritz",,,,,,,,,,,,,,,,,,,,,,,,
San Franciscans for Preservation Planning,San Franciscans for Preservation Planning,TERMINATED,General Purpose,1257127,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
"San Franciscans for Safe Streets and Sound Government - a committee for Lee Mayor 2011, Gascon District Attorney 2011 & Cunnie Sheriff 2011","San Franciscans for Safe Streets and Sound Government - a committee for Lee Mayor 2011, Gascon District Attorney 2011 & Cunnie Sheriff 2011",TERMINATED,Primarily Formed Candidate,1341394,,"5325 Elkhorn Blvd., #321",,Sacramento,CA,95842,2451 Harrison Street,,San Francisco,CA,94110,Rodrigo,Santos,,,,,,,
San Franciscans for Smart Planning: Yes on J,San Franciscans for Smart Planning: Yes on J,TERMINATED,Primarily Formed Measure,1311014,,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,Andy,Lim,,,,,,,
San Franciscans for Sunshine,San Franciscans for Sunshine,TERMINATED,General Purpose,1351427,,1939 Hayes St. #8,,San Francisco,CA,94117,1939 Hayes St. #8,,San Francisco,CA,94117,Doug,Comstock,,,,,,,
"SAN FRANCISCANS UNITED FOR PENSION AND HEALTH REFORM, YES ON C, NO ON D, A COALITION OF PUBLIC EMPLOYEES, TAXPAYERS AND BUSINESS GROUPS",,,,,,,,,,,,,,,,,,,,,,,,
"San Franciscans United to Protect Retirees and Taxpayers, Yes on A, a coalition of labor, business and retirees",,,,,,,,,,,,,,,,,,,,,,,,
"San Franciscans United to Protect Retirees and Taxpayers, Yes on A, A Coalition of labor, business and retirees with major support from the San Francisco Police Officers Association Issues PAC","San Franciscans United to Protect Retirees and Taxpayers, Yes on A, A Coalition of labor, business and retirees with major support from the San Francisco Police Officers Association Issues PAC",TERMINATED,Primarily Formed Measure,1359143,,"5940 College Avenue, Suite F",,Oakland,CA,94618,"150 Post Street, Suite 405",,San Francisco,CA,94108,Stacy,Owens,,Henry,Levy,,,,
SAN FRANCISCO ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH PAC,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Apartment Association PAC sponsored by San Francisco Apartment Assoc.,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE SPONSORED BY THE SAN FRANCISCO APARTMENT ASSOCIATION,SAN FRANCISCO APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE SPONSORED BY THE SAN FRANCISCO APARTMENT ASSOCIATION,ACTIVE,General Purpose,840002,,265 Ivy Street,,San Francisco,CA,94102,265 Ivy Street,,San Francisco,CA,94102,Janan,New,,,,,,,
SAN FRANCISCO ASSOCIATION OF REALTORS,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Bay Railroad,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Building and Construction Trades Council Political Organization of Workers for Employee Rights (POWER PAC),San Francisco Building and Construction Trades Council Political Organization of Workers for Employee Rights (POWER PAC),ACTIVE,General Purpose,1237101,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"1188 Franklin Street, Suite 203",,San Francisco,CA,94109,Michael,Theriault,,,,,,,
San Francisco Building and Construction Trades Council Political Organization of Workers for Employee Rights Political Issues Committee (POWER PIC),San Francisco Building and Construction Trades Council Political Organization of Workers for Employee Rights Political Issues Committee (POWER PIC),ACTIVE,General Purpose,1286295,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"1188 Franklin Street, Suite 203",,San Francisco,CA,94109,Michael,Theriault,,,,,,,
SAN FRANCISCO CHAMBER OF COMMERCE 21ST CENTURY COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Clean Energy: A Committee in Support of Proposition H,San Francisco Clean Energy: A Committee in Support of Proposition H,TERMINATED,Primarily Formed Measure,1308629,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
San Francisco Coalition for Responsible Growth - Political Action Committee,San Francisco Coalition for Responsible Growth - Political Action Committee,ACTIVE,General Purpose,1306077,,4153 24th Street,,San Francisco,CA,94114,4153 24th Street,,San Francisco,CA,94114,Luke,O'Brien,,,,,,,
San Francisco Democratic County Central Committee,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO DEPUTY SHERIFFS' ASSOCIATION POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCO EARTHQUAKE AND DISASTER RESPONSE PLAN, YES ON B",,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Economic Recovery Coalition,San Francisco Economic Recovery Coalition,TERMINATED,Primarily Formed Measure,1319504,,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,David,Mitchell,,Andy,Lim,,,,
"SAN FRANCISCO FIRE FIGHTERS LOCAL 798, NO ON B",,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCO FIRE FIGHTERS LOCAL 798, YES ON C, NO ON D",,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO GIANTS,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Housing Fund,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Housing Fund -- Yes on B,San Francisco Housing Fund -- Yes on B,TERMINATED,Primarily Formed Measure,1306922,,280 Turk Street,,San Francisco,CA,94102,280 Turk Street,,San Francisco,CA,94102,Dale,Carlson,,Murry,Richard,,,,
SAN FRANCISCO LABOR & NEIGHBOR MEMBER EDU./POLITICAL ISSUES COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO LABOR & NEIGHBOR MEMBER EDUCATION./POLITICAL ISSUES COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO LABOR & NEIGHBOR MEMBER EDUCATION/POLITICAL ISSUES COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCO LABOR & NEIGHBOR MEMBER EDUCATION/POLITICAL ISSUES COMMITTEE, sponsored by the San Francisco Labor Council",,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO LABOR COUNCIL LABOR & NEIGHBOR,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO LABOR COUNCIL LABOR & NEIGHBOR INDEPENDENT EXPENDITURE POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO LABOR COUNCIL LABOR & NEIGHBOR PAC,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Late Night Coalition (SFLNC),San Francisco Late Night Coalition (SFLNC),ACTIVE,General Purpose,991861,,985 Folsom Street,,San Francisco,CA,94107,985 Folsom Street,,San Francisco,CA,94107,John,Wood,,Terrance,Alan,,,,
San Francisco Municipal Executives' Association PAC,San Francisco Municipal Executives' Association PAC,ACTIVE,General Purpose,1271203,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"870 Market Street, Suite 840",,San Francisco,CA,94102,Rebecca,Rhine,,,,,,,
SAN FRANCISCO PARENT POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO PARKS ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Police Officers Association Independent Expenditure Committee,San Francisco Police Officers Association Independent Expenditure Committee,ACTIVE,General Purpose,1318539,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"800 Bryant Street, 2nd Floor",,San Francisco,CA,94103,Joe,Valdez,,Martin,Halloran,,,,
San Francisco Police Officers Association Issues PAC,San Francisco Police Officers Association Issues PAC,ACTIVE,General Purpose,1317554,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"800 Bryant Street, 2nd Floor",,San Francisco,CA,94103,Joe,Valdez,,Martin,Halloran,,,,
San Francisco Republican Assembly,San Francisco Republican Assembly,TERMINATED,General Purpose,1306633,,23 Annapolis Terrace,,San Francisco,CA,94118,23 Annapolis Terrace,,San Francisco,CA,94118,Barbara,Kiley,,Joan,Leone,,,,
San Francisco Rising Action Fund Committee,San Francisco Rising Action Fund Committee,ACTIVE,General Purpose,1340799,,114 Crescent Avenue,,San Francisco,CA,94110,114 Crescent Avenue,,San Francisco,CA,94110,Adam,Gold,,Rebecca,Olson,,,,
San Francisco Rising Committee,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF","San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",TERMINATED,Primarily Formed Measure,1332532,,"5325 Elkhorn Blvd., Suite 321",,Sacramento,CA,95842,"2301 Mission Street, Suite #201",,San Francisco,CA,94110,Shawnda,Deane,,Adam,Gold,,,,
San Francisco Sheriffs Managers and Supervisors Political Action Committee,San Francisco Sheriffs Managers and Supervisors Political Action Committee,ACTIVE,General Purpose,1342256,,"20 Galli Drive, Suite A",,Novato,CA,94949,425 7th Street,,San Francisco,CA,94103,Lisette,Adams,,Nancy,Warren,,,,
San Francisco Small Business Advocates,San Francisco Small Business Advocates,TERMINATED,General Purpose,1226595,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
San Francisco Taxpayers Association,San Francisco Taxpayers Association,ACTIVE,General Purpose,921622,,495 Linden Avenue,,San Bruno,CA,94066,495 Linden Avenue,,San Bruno,CA,94066,David,Slosberg,,,,,,,
San Francisco Taxpayers Union Political Action Committee,San Francisco Taxpayers Union Political Action Committee,TERMINATED,General Purpose,1280589,,265 Ivy Street,,San Francisco,CA,94102,265 Ivy Street,,San Francisco,CA,94102,Janan,New,,Kevin,Heneghan,,,,
SAN FRANCISCO TAXPAYERS UNION POLITICAL ACTION COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Tenants Union,San Francisco Tenants Union,ANNUAL,Independent Expenditure,Pending,,558 Capp Street,,San Francisco,CA,94110,558 Capp Street,,San Francisco,CA,94110,Ted,Gullicksen,,,,,,,
San Francisco Tenants Union,San Francisco Tenants Union,ANNUAL,Independent Expenditure,Pending,,558 Capp Street,,San Francisco,CA,94110,558 Capp Street,,San Francisco,CA,94110,Ted,Gullicksen,,,,,,,
"SAN FRANCISCO WATERFRONT PARTNERS II, LLC","SAN FRANCISCO WATERFRONT PARTNERS II, LLC",ANNUAL,Independent Expenditure,Pending,,"Pier 1, Bay 2",,San Francisco,CA,94111,"Pier 1, Bay 2",,San Francisco,CA,94111,Kevin,Heneghan,,,,,,,
SAN FRANCISCO WOMEN FOR ACCOUNTABILITY AND A RESPONSIBLE SUPERVISOR OPPOSING CHRISTINA OLAGUE 2012,SAN FRANCISCO WOMEN FOR ACCOUNTABILITY AND A RESPONSIBLE SUPERVISOR OPPOSING CHRISTINA OLAGUE 2012,TERMINATED,Primarily Formed Candidate,1353184,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,"425 Market Street, 26th Floor",,San Francisco,CA,94105,Kevin,Heneghan,,,,,,,
San Francisco Women's Political Committee,San Francisco Women's Political Committee,ACTIVE,General Purpose,1243711,,P.O. Box 420164,,San Francisco,CA,94142,"281 14th St., #18",,San Francisco,CA,94122,Annie,Chou,,,,,,,
SAN FRANCISCO WOMEN'S POLITICAL COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Young Democrats,San Francisco Young Democrats,ACTIVE,General Purpose,961946,,"2370 Market Street, #107",,San Francisco,CA,94114,"2370 Market Street, #107",,San Francisco,CA,94114,Mathew,Herrick,,Bryan,La Dow,,,,
Sara Morishige Williams,Sara Morishige Williams,ANNUAL,Major Donor,Pending,,"760 Market Street, 3rd Floor",,San Francisco,CA,94103,"760 Market Street, 3rd Floor",,San Francisco,CA,94103,,,,,,,,,
"SAVE 911, NO NEW TAXES, YES ON O","SAVE 911, NO NEW TAXES, YES ON O",TERMINATED,Primarily Formed Measure,1309047,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Kevin,Heneghan,,James,Sutton,,,,
SAVE HETCH HETCHY,,,,,,,,,,,,,,,,,,,,,,,,
"SAVE HETCH HETCHY, NO ON F, A COALITION OF BUSINESS, LABOR AND TAXPAYERS, WITH MAJOR FUNDING BY THE SAN FRANCISCO FOUNDATION AND THE BAY AREA COUNCIL",,,,,,,,,,,,,,,,,,,,,,,,
"SAVE HETCH HETCHY, NO ON F, A COALITION OF BUSINESS, LABOR AND TAXPAYERS, WITH MAJOR FUNDING BY THE SAN FRANCISCO FOUNDATION, DIGNITY HEALTH, AND THE BAY AREA COUNCIL","SAVE HETCH HETCHY, NO ON F, A COALITION OF BUSINESS, LABOR AND TAXPAYERS, WITH MAJOR FUNDING BY THE SAN FRANCISCO FOUNDATION, DIGNITY HEALTH, AND THE BAY AREA COUNCIL",TERMINATED,Primarily Formed Measure,1347286,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,"425 Market Street, 26th Floor",,San Francisco,CA,94105,Vince,Courtney,,Kevin,Heneghan,,,,
Sean Parker,Sean Parker,ANNUAL,Major Donor,1336059,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,,,,,,,,,
SEIU United Healthcare Workers West Political Issues Committee,SEIU United Healthcare Workers West Political Issues Committee,NONSF,General Purpose,991800,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,560 Thomas L. Berkeley Way,,Oakland,CA,94612,Rebecca,Malberg,,,,,,,
SEIU United Healthcare Workers West Political Issues Committee - Yes on Measure G,,,,,,,,,,,,,,,,,,,,,,,,
Service Employees International Union Local 1021 Issues PAC,Service Employees International Union Local 1021 Issues PAC,NONSF,General Purpose,1296947,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,447 29th Street,,Oakland,CA,94609,Paul,Camarillo,,Roxanne,Sanchez,,,,
SF FORWARD SPONSORED BY SAN FRANCISCO CHAMBER OF COMMERCE,,,,,,,,,,,,,,,,,,,,,,,,
SF Moderates,SF Moderates,ACTIVE,General Purpose,1245538,,P.O. Box 26286,,San Francisco,CA,94126,"C/o Brian Hecktman, 222 Kearny Street, Suite 600",,San Francisco,CA,94108,Brian,Hecktman,,Stacy,Owens,,,,
SF Neighbor Alliance for Ed Lee for Mayor 2011,SF Neighbor Alliance for Ed Lee for Mayor 2011,ACTIVE,Primarily Formed Candidate,1341302,,"237 Kearny Street, #340",,San Francisco,CA,94108,"237 Kearny Street, #340",,San Francisco,CA,94108,Wendell,Lin,,,,,,,
SF Neighborhood Alliance for Ed Lee for Mayor 2011,,,,,,,,,,,,,,,,,,,,,,,,
SF SOS PAC,SF SOS PAC,TERMINATED,General Purpose,1248619,,"381 Bush Street, Suite 300",,San Francisco,CA,94104,"381 Bush Street, Suite 300",,San Francisco,CA,94104,Wade,Randlett,,,,,,,
Shamann Walton for School Board 2014,Shamann Walton for School Board 2014,ACTIVE,Candidate or Officeholder,1362066,,"300 Montgomery Street, Suite 789",,San Francisco,CA,94104,"300 Montgomery Street, Suite 789",,San Francisco,CA,94104,Andrew,Sinn,,,,,Shamann,Walton,
Sidewalks Are For People - A Committee Opposed to Proposition L,Sidewalks Are For People - A Committee Opposed to Proposition L,TERMINATED,Primarily Formed Measure,1328619,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
Sierra Club S.F. Bay Chapter Campaigns,Sierra Club S.F. Bay Chapter Campaigns,NONSF,General Purpose,1239281,,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,Stacy,Owens,,Henry,Levy,,,,
"Sierra Club, SF Bay Chapter Against B&C, sponsored by No Wall on the Northeast Waterfront, No on B&C (see attachment for full committee name).","Sierra Club, SF Bay Chapter Against B&C, sponsored by No Wall on the Northeast Waterfront, No on B&C (see attachment for full committee name).",TERMINATED,Primarily Formed Measure,1361187,,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,Stacy,Owens,,Deirdre,Ashby,,,,
SKIDMORE OWINGS & MERRILL LLP,,,,,,,,,,,,,,,,,,,,,,,,
Small Property Owners of San Francisco 2010 Candidate Support Committee,Small Property Owners of San Francisco 2010 Candidate Support Committee,TERMINATED,General Purpose,1327043,,P.O. Box 170669,,San Francisco,CA,94117,1929 Ellis Street,,San Francisco,CA,94115,David,Fix,,,,,,,
SPLUNK INC.,,,,,,,,,,,,,,,,,,,,,,,,
